"season_batting_team_id","r_per_g_presep"
"2013_BOS",5.04379562043796
"2013_TBR",4.38059701492537
"2013_NYY",3.99259259259259
"2013_BAL",4.72388059701493
"2013_TOR",4.44117647058824
"2013_DET",5.13970588235294
"2013_CLE",4.48148148148148
"2013_KCR",4.03703703703704
"2013_MIN",3.85820895522388
"2013_CHW",3.78358208955224
"2013_TEX",4.55555555555556
"2013_OAK",4.48148148148148
"2013_LAA",4.47014925373134
"2013_SEA",3.93333333333333
"2013_HOU",3.86666666666667
"2013_ATL",4.35555555555556
"2013_WSN",3.91851851851852
"2013_NYM",4.03731343283582
"2013_PHI",3.79411764705882
"2013_MIA",3.16417910447761
"2013_PIT",3.93333333333333
"2013_STL",4.78518518518518
"2013_CIN",4.36764705882353
"2013_MIL",3.93333333333333
"2013_CHC",3.85925925925926
"2013_LAD",4.05185185185185
"2013_ARI",4.3134328358209
"2013_COL",4.32846715328467
"2013_SDP",3.84444444444444
"2013_SFG",3.76296296296296
"2014_BAL",4.34814814814815
"2014_NYY",3.96296296296296
"2014_TOR",4.39705882352941
"2014_TBR",3.8978102189781
"2014_BOS",3.84558823529412
"2014_KCR",4.08088235294118
"2014_DET",4.65441176470588
"2014_CLE",4.2962962962963
"2014_CHW",4.2043795620438
"2014_MIN",4.36764705882353
"2014_LAA",4.69117647058824
"2014_OAK",4.69117647058824
"2014_SEA",3.97777777777778
"2014_HOU",3.95652173913043
"2014_TEX",3.98529411764706
"2014_WSN",4.27407407407407
"2014_ATL",3.75182481751825
"2014_MIA",4.02962962962963
"2014_NYM",3.7956204379562
"2014_PHI",3.91911764705882
"2014_MIL",4.26470588235294
"2014_STL",3.83088235294118
"2014_PIT",4.19117647058824
"2014_CIN",3.75912408759124
"2014_CHC",3.81751824817518
"2014_LAD",4.1021897810219
"2014_SFG",4.08029197080292
"2014_SDP",3.27407407407407
"2014_ARI",3.88235294117647
"2014_COL",4.53284671532847
"2015_TOR",5.49618320610687
"2015_NYY",4.84615384615385
"2015_TBR",3.73282442748092
"2015_BAL",4.32824427480916
"2015_BOS",4.52671755725191
"2015_KCR",4.37692307692308
"2015_MIN",4.33846153846154
"2015_CLE",4.10769230769231
"2015_CHW",3.82170542635659
"2015_DET",4.36153846153846
"2015_HOU",4.31818181818182
"2015_TEX",4.42307692307692
"2015_LAA",3.96946564885496
"2015_SEA",3.87878787878788
"2015_OAK",4.15909090909091
"2015_NYM",4.06870229007634
"2015_WSN",4.26923076923077
"2015_ATL",3.62595419847328
"2015_MIA",3.67424242424242
"2015_PHI",3.8030303030303
"2015_STL",4.06106870229008
"2015_PIT",4.23255813953488
"2015_CHC",4.1
"2015_MIL",4.00769230769231
"2015_CIN",3.98461538461538
"2015_LAD",4.09230769230769
"2015_SFG",4.30534351145038
"2015_SDP",4.09160305343511
"2015_ARI",4.48854961832061
"2015_COL",4.48062015503876
"2016_TOR",4.90977443609023
"2016_BOS",5.44360902255639
"2016_BAL",4.69172932330827
"2016_NYY",4.29545454545455
"2016_TBR",4.20454545454545
"2016_CLE",4.89393939393939
"2016_DET",4.6390977443609
"2016_KCR",4.03007518796993
"2016_CHW",4.0530303030303
"2016_MIN",4.53383458646617
"2016_TEX",4.73880597014925
"2016_HOU",4.55639097744361
"2016_SEA",4.59398496240602
"2016_LAA",4.45112781954887
"2016_OAK",3.93984962406015
"2016_WSN",4.81203007518797
"2016_NYM",3.93233082706767
"2016_MIA",4.1203007518797
"2016_PHI",3.69924812030075
"2016_ATL",3.7593984962406
"2016_CHC",5.09090909090909
"2016_STL",4.92424242424242
"2016_PIT",4.52671755725191
"2016_MIL",4.07518796992481
"2016_CIN",4.4469696969697
"2016_LAD",4.4812030075188
"2016_SFG",4.49242424242424
"2016_COL",5.33082706766917
"2016_ARI",4.55639097744361
"2016_SDP",4.28030303030303
"2017_BOS",4.7910447761194
"2017_NYY",5.18045112781955
"2017_BAL",4.92537313432836
"2017_TBR",4.33333333333333
"2017_TOR",4.26119402985075
"2017_CLE",4.93181818181818
"2017_MIN",4.85714285714286
"2017_KCR",4.31060606060606
"2017_DET",4.75757575757576
"2017_CHW",4.29545454545455
"2017_HOU",5.52631578947368
"2017_LAA",4.35820895522388
"2017_TEX",5.05263157894737
"2017_SEA",4.62686567164179
"2017_OAK",4.41353383458647
"2017_WSN",5.29323308270677
"2017_MIA",4.67669172932331
"2017_ATL",4.56060606060606
"2017_NYM",4.56390977443609
"2017_PHI",4.07518796992481
"2017_CHC",5.07518796992481
"2017_MIL",4.55223880597015
"2017_STL",4.74436090225564
"2017_PIT",4.17910447761194
"2017_CIN",4.79850746268657
"2017_LAD",4.96969696969697
"2017_ARI",4.88805970149254
"2017_COL",5.1203007518797
"2017_SDP",3.82706766917293
"2017_SFG",3.91176470588235
"2018_BOS",5.42647058823529
"2018_NYY",5.19259259259259
"2018_TBR",4.2089552238806
"2018_TOR",4.47761194029851
"2018_BAL",3.93333333333333
"2018_CLE",5.06716417910448
"2018_MIN",4.44776119402985
"2018_DET",3.83703703703704
"2018_CHW",4.2
"2018_KCR",3.78358208955224
"2018_HOU",4.93333333333333
"2018_OAK",4.75
"2018_SEA",4.14814814814815
"2018_LAA",4.54074074074074
"2018_TEX",4.72592592592593
"2018_ATL",4.73880597014925
"2018_PHI",4.32835820895522
"2018_WSN",4.60740740740741
"2018_NYM",4.14925373134328
"2018_MIA",3.74074074074074
"2018_CHC",4.80597014925373
"2018_STL",4.62222222222222
"2018_MIL",4.46323529411765
"2018_PIT",4.31851851851852
"2018_CIN",4.52592592592593
