"","game_date","home_team","team","batting_team","pitcher_name","mlbam_playerid","hr","bb","hbp","so","ip","year","fip","playoff_game","home_away"
"756","2023-11-01","Arizona Diamondbacks","Texas Rangers","Arizona Diamondbacks","Andrew Heaney",571760,0,2,0,3,5,2023,3.255,1,"A"
"757","2023-11-02","Arizona Diamondbacks","Arizona Diamondbacks","Texas Rangers","Zac Gallen",668678,0,1,0,6,6.33,2023,1.8331990521327,1,"H"
"758","2023-11-02","Arizona Diamondbacks","Texas Rangers","Arizona Diamondbacks","Nathan Eovaldi",543135,0,5,0,5,6,2023,4.08833333333333,1,"A"
"759","2024-10-01","Houston Astros","Detroit Tigers","Houston Astros","Tarik Skubal",669373,0,1,0,6,6,2024,1.666,1,"A"
"760","2024-10-01","Houston Astros","Houston Astros","Detroit Tigers","Framber Valdez",664285,0,2,0,3,4.33,2024,3.166,1,"H"
"761","2024-10-01","Baltimore Orioles","Baltimore Orioles","Kansas City Royals","Corbin Burnes",669203,0,1,0,3,8,2024,2.791,1,"H"
"762","2024-10-01","Baltimore Orioles","Kansas City Royals","Baltimore Orioles","Cole Ragans",666142,0,0,0,8,6,2024,0.499333333333333,1,"A"
"763","2024-10-01","Milwaukee Brewers","Milwaukee Brewers","New York Mets","Freddy Peralta",642547,0,1,0,5,4,2024,1.416,1,"H"
"764","2024-10-01","Milwaukee Brewers","New York Mets","Milwaukee Brewers","Luis Severino",622663,0,2,1,3,6,2024,3.666,1,"A"
"765","2024-10-02","San Diego Padres","Atlanta Braves","San Diego Padres","AJ Smith-Shawver",700363,1,0,1,1,1.33,2024,13.6923157894737,1,"A"
"766","2024-10-02","San Diego Padres","San Diego Padres","Atlanta Braves","Michael King",650633,0,0,0,12,7,2024,-0.262571428571428,1,"H"
"767","2024-10-02","Houston Astros","Detroit Tigers","Houston Astros","Tyler Holton",663947,0,0,0,1,1,2024,1.166,1,"A"
"768","2024-10-02","Houston Astros","Houston Astros","Detroit Tigers","Hunter Brown",686613,1,2,0,9,5.67,2024,3.34236684303351,1,"H"
"769","2024-10-02","Baltimore Orioles","Baltimore Orioles","Kansas City Royals","Zach Eflin",621107,0,1,1,3,4,2024,3.166,1,"H"
"770","2024-10-02","Baltimore Orioles","Kansas City Royals","Baltimore Orioles","Seth Lugo",607625,1,1,1,6,4.33,2024,4.78262817551963,1,"A"
"771","2024-10-02","Milwaukee Brewers","Milwaukee Brewers","New York Mets","Frankie Montas",593423,0,1,0,3,3.67,2024,2.34856130790191,1,"H"
"772","2024-10-02","Milwaukee Brewers","New York Mets","Milwaukee Brewers","Sean Manaea",640455,1,0,0,4,5,2024,4.166,1,"A"
"773","2024-10-03","San Diego Padres","Atlanta Braves","San Diego Padres","Max Fried",608331,1,0,0,2,2.33,2024,7.02866094420601,1,"A"
"774","2024-10-03","San Diego Padres","San Diego Padres","Atlanta Braves","Joe Musgrove",605397,0,0,0,4,3.67,2024,0.986163487738419,1,"H"
"775","2024-10-03","Milwaukee Brewers","Milwaukee Brewers","New York Mets","Tobias Myers",668964,0,0,1,5,5,2024,1.766,1,"H"
"776","2024-10-03","Milwaukee Brewers","New York Mets","Milwaukee Brewers","Jose Quintana",500779,0,1,0,5,6,2024,1.99933333333333,1,"A"
"777","2024-10-05","Cleveland Guardians","Cleveland Guardians","Detroit Tigers","Tanner Bibee",676440,0,1,1,6,4.67,2024,1.8812034261242,1,"H"
"778","2024-10-05","Cleveland Guardians","Detroit Tigers","Cleveland Guardians","Tyler Holton",663947,0,1,0,0,0,2024,Inf,1,"A"
"779","2024-10-05","Philadelphia Phillies","New York Mets","Philadelphia Phillies","Kodai Senga",673540,1,1,0,3,2,2024,8.166,1,"A"
"780","2024-10-05","Philadelphia Phillies","Philadelphia Phillies","New York Mets","Zack Wheeler",554430,0,4,1,9,7,2024,2.73742857142857,1,"H"
"781","2024-10-05","New York Yankees","Kansas City Royals","New York Yankees","Michael Wacha",608379,1,3,0,3,4,2024,7.166,1,"A"
"782","2024-10-05","New York Yankees","New York Yankees","Kansas City Royals","Gerrit Cole",543037,1,2,0,4,4.67,2024,5.52146038543897,1,"H"
"783","2024-10-06","Los Angeles Dodgers","Los Angeles Dodgers","San Diego Padres","Yoshinobu Yamamoto",808967,1,2,0,1,3,2024,8.83266666666667,1,"H"
"784","2024-10-06","Los Angeles Dodgers","San Diego Padres","Los Angeles Dodgers","Dylan Cease",656302,1,2,0,5,3.33,2024,5.8687027027027,1,"A"
"785","2024-10-06","Philadelphia Phillies","New York Mets","Philadelphia Phillies","Luis Severino",622663,2,0,0,7,6,2024,5.166,1,"A"
"786","2024-10-06","Philadelphia Phillies","Philadelphia Phillies","New York Mets","Cristopher Sánchez",650911,1,1,0,5,5,2024,4.366,1,"H"
"787","2024-10-07","Los Angeles Dodgers","Los Angeles Dodgers","San Diego Padres","Jack Flaherty",656427,2,1,1,2,5.33,2024,8.41928330206379,1,"H"
"788","2024-10-07","Los Angeles Dodgers","San Diego Padres","Los Angeles Dodgers","Yu Darvish",506433,0,2,0,3,7,2024,3.166,1,"A"
"789","2024-10-07","Cleveland Guardians","Cleveland Guardians","Detroit Tigers","Matthew Boyd",571510,0,2,0,5,4.33,2024,2.24221247113164,1,"H"
"790","2024-10-07","Cleveland Guardians","Detroit Tigers","Cleveland Guardians","Tarik Skubal",669373,0,0,1,8,7,2024,1.30885714285714,1,"A"
"791","2024-10-07","New York Yankees","Kansas City Royals","New York Yankees","Cole Ragans",666142,0,4,0,5,4,2024,3.666,1,"A"
"792","2024-10-07","New York Yankees","New York Yankees","Kansas City Royals","Carlos Rodón",607074,1,0,0,7,3.67,2024,2.8935204359673,1,"H"
"793","2024-10-08","New York Mets","New York Mets","Philadelphia Phillies","Sean Manaea",640455,0,2,2,6,6.67,2024,3.166,1,"H"
"794","2024-10-08","New York Mets","Philadelphia Phillies","New York Mets","Aaron Nola",605400,2,2,0,8,5,2024,6.366,1,"A"
"795","2024-10-09","San Diego Padres","Los Angeles Dodgers","San Diego Padres","Walker Buehler",621111,1,1,0,0,5.67,2024,5.98786948853616,1,"A"
"796","2024-10-09","San Diego Padres","San Diego Padres","Los Angeles Dodgers","Michael King",650633,2,1,0,3,5,2024,7.766,1,"H"
"797","2024-10-09","Detroit Tigers","Cleveland Guardians","Detroit Tigers","Alex Cobb",502171,0,1,0,2,3,2024,2.83266666666667,1,"A"
"798","2024-10-09","Detroit Tigers","Detroit Tigers","Cleveland Guardians","Keider Montero",672456,0,0,0,0,1,2024,3.166,1,"H"
"799","2024-10-09","New York Mets","New York Mets","Philadelphia Phillies","Jose Quintana",500779,0,2,1,6,5.33,2024,2.60314821763602,1,"H"
"800","2024-10-09","New York Mets","Philadelphia Phillies","New York Mets","Ranger Suárez",624133,0,4,0,8,4.33,2024,2.24221247113164,1,"A"
"801","2024-10-09","Kansas City Royals","Kansas City Royals","New York Yankees","Seth Lugo",607625,0,4,0,2,5,2024,4.766,1,"H"
"802","2024-10-09","Kansas City Royals","New York Yankees","Kansas City Royals","Clarke Schmidt",657376,0,1,1,4,4.67,2024,2.73773447537473,1,"A"
"803","2024-10-10","San Diego Padres","Los Angeles Dodgers","San Diego Padres","Ryan Brasier",518489,0,0,0,1,1.33,2024,1.66224060150376,1,"A"
"804","2024-10-10","San Diego Padres","San Diego Padres","Los Angeles Dodgers","Dylan Cease",656302,1,1,0,1,1.67,2024,11.5492335329341,1,"H"
"805","2024-10-10","Detroit Tigers","Cleveland Guardians","Detroit Tigers","Tanner Bibee",676440,1,2,0,3,4,2024,6.416,1,"A"
"806","2024-10-10","Detroit Tigers","Detroit Tigers","Cleveland Guardians","Reese Olson",681857,0,1,0,4,4,2024,1.916,1,"H"
"807","2024-10-11","Kansas City Royals","Kansas City Royals","New York Yankees","Michael Wacha",608379,0,1,0,2,4.67,2024,2.95186723768737,1,"H"
"808","2024-10-11","Kansas City Royals","New York Yankees","Kansas City Royals","Gerrit Cole",543037,0,0,0,4,7,2024,2.02314285714286,1,"A"
"809","2024-10-12","Los Angeles Dodgers","Los Angeles Dodgers","San Diego Padres","Yoshinobu Yamamoto",808967,0,1,0,2,5,2024,2.966,1,"H"
"810","2024-10-12","Los Angeles Dodgers","San Diego Padres","Los Angeles Dodgers","Yu Darvish",506433,2,1,0,4,6.67,2024,6.31442578710645,1,"A"
"811","2024-10-12","Cleveland Guardians","Cleveland Guardians","Detroit Tigers","Matthew Boyd",571510,0,1,1,5,2,2024,1.166,1,"H"
"812","2024-10-12","Cleveland Guardians","Detroit Tigers","Cleveland Guardians","Tarik Skubal",669373,1,1,1,6,6,2024,4.33266666666667,1,"A"
"813","2024-10-14","Los Angeles Dodgers","Los Angeles Dodgers","New York Mets","Jack Flaherty",656427,0,2,0,6,6.67,2024,2.26644977511244,1,"H"
"814","2024-10-14","Los Angeles Dodgers","New York Mets","Los Angeles Dodgers","Kodai Senga",673540,0,4,0,0,1.33,2024,12.1885563909774,1,"A"
"815","2024-10-14","Los Angeles Dodgers","Los Angeles Dodgers","New York Mets","Ryan Brasier",518489,1,1,0,0,1,2024,19.166,1,"H"
"816","2024-10-14","Los Angeles Dodgers","New York Mets","Los Angeles Dodgers","Sean Manaea",640455,1,4,0,7,5.33,2024,5.22978986866792,1,"A"
"817","2024-10-14","New York Yankees","Cleveland Guardians","New York Yankees","Alex Cobb",502171,1,3,0,3,2.67,2024,9.15850936329588,1,"A"
"818","2024-10-14","New York Yankees","New York Yankees","Cleveland Guardians","Carlos Rodón",607074,1,0,0,9,6,2024,2.33266666666667,1,"H"
"819","2024-10-15","New York Yankees","Cleveland Guardians","New York Yankees","Tanner Bibee",676440,0,1,0,2,1.33,2024,2.41412030075188,1,"A"
"820","2024-10-15","New York Yankees","New York Yankees","Cleveland Guardians","Gerrit Cole",543037,0,4,0,4,4.33,2024,4.08978752886836,1,"H"
"821","2024-10-17","New York Mets","Los Angeles Dodgers","New York Mets","Walker Buehler",621111,0,2,1,6,4,2024,2.416,1,"A"
"822","2024-10-17","New York Mets","New York Mets","Los Angeles Dodgers","Luis Severino",622663,0,4,0,3,5,2024,4.366,1,"H"
"823","2024-10-17","Cleveland Guardians","Cleveland Guardians","New York Yankees","Matthew Boyd",571510,0,3,0,4,4.67,2024,3.38013276231263,1,"H"
"824","2024-10-17","Cleveland Guardians","New York Yankees","Cleveland Guardians","Clarke Schmidt",657376,1,2,0,2,4.67,2024,6.37799143468951,1,"A"
"825","2024-10-18","New York Mets","Los Angeles Dodgers","New York Mets","Yoshinobu Yamamoto",808967,1,1,1,8,4.33,2024,3.85884064665127,1,"A"
"826","2024-10-18","New York Mets","New York Mets","Los Angeles Dodgers","Jose Quintana",500779,1,4,0,2,3.33,2024,9.47230630630631,1,"H"
"827","2024-10-18","New York Mets","Los Angeles Dodgers","New York Mets","Jack Flaherty",656427,1,4,0,0,3,2024,11.4993333333333,1,"A"
"828","2024-10-18","New York Mets","New York Mets","Los Angeles Dodgers","David Peterson",656849,1,4,0,3,3.67,2024,8.34311171662125,1,"H"
"829","2024-10-19","Cleveland Guardians","Cleveland Guardians","New York Yankees","Gavin Williams",668909,2,0,0,4,2.33,2024,10.891321888412,1,"H"
"830","2024-10-19","Cleveland Guardians","New York Yankees","Cleveland Guardians","Luis Gil",661563,0,3,0,3,4,2024,3.916,1,"A"
"831","2024-10-20","Cleveland Guardians","Cleveland Guardians","New York Yankees","Tanner Bibee",676440,1,0,2,5,5.33,2024,4.85455534709193,1,"H"
"832","2024-10-20","Cleveland Guardians","New York Yankees","Cleveland Guardians","Carlos Rodón",607074,0,1,0,6,4.67,2024,1.2388051391863,1,"A"
"833","2024-10-21","Los Angeles Dodgers","Los Angeles Dodgers","New York Mets","Michael Kopech",656629,0,2,0,1,1,2024,7.166,1,"H"
"834","2024-10-21","Los Angeles Dodgers","New York Mets","Los Angeles Dodgers","Sean Manaea",640455,1,2,0,2,2,2024,10.666,1,"A"
"835","2024-10-26","Los Angeles Dodgers","Los Angeles Dodgers","New York Yankees","Jack Flaherty",656427,1,1,0,6,5.67,2024,3.87146737213404,1,"H"
"836","2024-10-26","Los Angeles Dodgers","New York Yankees","Los Angeles Dodgers","Gerrit Cole",543037,0,0,0,4,6,2024,1.83266666666667,1,"A"
"837","2024-10-27","Los Angeles Dodgers","Los Angeles Dodgers","New York Yankees","Yoshinobu Yamamoto",808967,1,2,0,4,6.33,2024,4.90375671406003,1,"H"
"838","2024-10-27","Los Angeles Dodgers","New York Yankees","Los Angeles Dodgers","Carlos Rodón",607074,3,0,0,3,3.33,2024,13.0759099099099,1,"A"
"839","2024-10-29","New York Yankees","Los Angeles Dodgers","New York Yankees","Walker Buehler",621111,0,2,0,5,4.67,2024,2.30946895074946,1,"A"
"840","2024-10-29","New York Yankees","New York Yankees","Los Angeles Dodgers","Clarke Schmidt",657376,1,4,0,3,2.67,2024,10.2821048689139,1,"H"
"841","2024-10-30","New York Yankees","Los Angeles Dodgers","New York Yankees","Ben Casparius",676508,0,3,0,1,2,2024,6.666,1,"A"
"842","2024-10-30","New York Yankees","New York Yankees","Los Angeles Dodgers","Luis Gil",661563,2,2,0,1,4,2024,10.666,1,"H"
"843","2024-10-31","New York Yankees","Los Angeles Dodgers","New York Yankees","Jack Flaherty",656427,2,1,0,1,1.33,2024,23.4667518796992,1,"A"
"844","2024-10-31","New York Yankees","New York Yankees","Los Angeles Dodgers","Gerrit Cole",543037,0,4,0,6,7,2024,3.166,1,"H"
